PLAYER;TEAM;AGE;HEIGHT;MINUTES;PAINT_FGM;PAINT_FGA;PAINT_FG%;MR_FGM;MR_FGA;MR_FG%;3_FGM;3_FGA;3_FG%;FTM;FTA;FT%;PPG;OREB;DREB;AST;TOV;STL;BLK;DRIVES;POSTUPS;CATCH_SHOOT;USG%;PIE
Kelly Olynyk;MIA;29;6'11;19.4;1.1;2;0.55;0.1;0.4;33.3;1.4;3.5;39.725;0.2;0.2;83.3;8.2;0.7;3.9;1.7;1.1;0.7;0.3;1.7;0.8;3.1;16.5;10.2
Kelly Oubre Jr.;PHX;24;6'7;34.5;4.2;7.9;0.532;0.6;1.4;42.1;2;5.4;33.975;1.1;1.6;69.8;18.7;1.2;5.3;1.5;1.5;1.3;0.7;6.1;0.1;4.3;21.9;9.7
Kemba Walker;BOS;30;6'0;31.1;2.5;5.4;0.463;1;2.1;50.4;3.2;8.4;37.3;1.4;1.6;84.4;20.4;0.6;3.2;4.8;2.1;0.9;0.5;10.9;0;2.6;26.8;13
Kendrick Nunn;MIA;24;6'2;29.3;2.7;5.2;0.519;1.2;2.6;46.6;2.1;5.8;34.25;0.4;0.5;96.7;15.3;0.3;2.4;3.3;1.7;0.8;0.2;7.4;0.1;3.9;23.6;8.6
Kenrich Williams;NOP;25;6'6;21.3;0.7;1.2;0.583;0;0.1;25;0.6;2.6;27.025;0;0.1;25;3.5;1.3;3.5;1.5;0.6;0.7;0.5;1.4;0;2.3;8.7;5.2
Kent Bazemore;SAC;30;6'4;24.8;1.5;3.3;0.455;0.3;0.9;28.1;1.3;3.5;34.675;0.6;0.8;74.1;8.8;0.4;3.9;1.4;1.3;1.1;0.6;4;0.2;2.9;17.1;6.4
Kentavious Caldwell-Pope;LAL;27;6'5;25.5;1.6;2.6;0.615;0.6;1.3;43.7;1.4;3.4;38.55;0.2;0.3;65;9.3;0.6;1.5;1.6;0.9;0.8;0.2;2.4;0;3;14.2;6.5
Kevin Hervey;OKC;23;6'9;5.2;0.3;0.6;0.5;0.3;0.5;66.7;0.5;2.3;18.05;0;0;0;1.7;0.1;1.1;0.5;0;0.1;0.1;0.3;0.1;1.6;18.9;6.2
Kevin Huerter;ATL;21;6'7;31.4;1.8;3.6;0.5;0.4;1.3;33.3;2.3;6;40.475;0.3;0.4;90;12.2;0.6;3.4;3.8;1.6;0.9;0.5;5.7;0;3.9;16.9;7.8
Kevin Knox II;NYK;20;6'7;17.9;0.9;2.2;0.409;0.3;0.9;28.3;1;3.2;30.825;0.5;0.7;69.6;6.4;0.4;2.4;0.9;0.7;0.4;0.4;2.5;0.1;2.6;17.2;5.6
